# Waypoints for mivia_rover_waypoint_follower
# Format: x, y, qx, qy, qz, qw  (frame: map)
# Traiettoria a serpentina, tutta dentro la mappa.
# Map bounds from origin/resolution: x in [-2, 2], y in [-2, 4].
0.000, -1.350, 0.000, 0.000, 0.170262, 0.985399
0.617, -1.115, 0.000, 0.000, 0.205893, 0.978575
0.999, -0.880, 0.000, 0.000, 0.415149, 0.909753
0.999, -0.645, 0.000, 0.000, 0.909753, 0.415149
0.617, -0.410, 0.000, 0.000, 0.978575, 0.205893
0.000, -0.175, 0.000, 0.000, 0.985399, 0.170262
-0.617, 0.060, 0.000, 0.000, 0.978575, 0.205893
-0.999, 0.295, 0.000, 0.000, 0.909753, 0.415149
-0.999, 0.530, 0.000, 0.000, 0.415149, 0.909753
-0.617, 0.765, 0.000, 0.000, 0.205893, 0.978575
-0.000, 1.000, 0.000, 0.000, 0.170262, 0.985399
0.617, 1.235, 0.000, 0.000, 0.205893, 0.978575
0.999, 1.470, 0.000, 0.000, 0.415149, 0.909753
0.999, 1.705, 0.000, 0.000, 0.909753, 0.415149
0.617, 1.940, 0.000, 0.000, 0.978575, 0.205893
0.000, 2.175, 0.000, 0.000, 0.985399, 0.170262
-0.617, 2.410, 0.000, 0.000, 0.978575, 0.205893
-0.999, 2.645, 0.000, 0.000, 0.909753, 0.415149
-0.999, 2.880, 0.000, 0.000, 0.415149, 0.909753
-0.617, 3.115, 0.000, 0.000, 0.205893, 0.978575
-0.000, 3.350, 0.000, 0.000, 0.170262, 0.985399
